31.12.2023 05:03:27;Jula;1;197,08
31.12.2023 05:11:12;Jula;2;218,27
16.05.2024 05:18:24;Monika;3;123,72
16.05.2024 12:56:25;Ula;4;354,97
16.05.2024 13:02:47;Paula;5;158,77
16.06.2024 13:12:24;Seba;6;1 076,03
12.07.2024 13:15:52;Józek;7;12,69
13.07.2024 13:55:43;Ola;8;101,27
14.07.2024 16:36:56;Lucek;9;63,23
15.07.2024 16:40:54;Maciek;10;100,86
16.07.2024 16:55:45;Olek;11;97,41
16.07.2024 16:58:30;Zuza;12;184,10
16.07.2024 16:59:58;Rychu;13;82,50
16.07.2024 18:05:42;Ala;14;183,54
16.07.2024 18:32:54;Quentin;15;109,00
16.07.2024 18:34:38;Zyga;16;48,30
16.07.2024 18:36:26;Ola;17;123,45
16.07.2024 18:42:17;Mietek;18;63,99
16.07.2024 18:49:38;Tadek;19;212,51
16.07.2024 18:50:34;Edek;20;98,00
16.07.2024 19:08:11;Ziutek;21;81,00
16.07.2024 19:10:09;Ziutek;22;22,15
16.07.2024 19:31:14;Anna-Maria;23;142,00
16.07.2024 19:35:52;Anna;24;45,00
16.07.2024 19:47:45;Monty;25;60,00
16.07.2024 19:58:21;Mikołaj;26;133,00
16.07.2024 19:59:40;Monster;27;154,00
16.07.2024 20:06:08;Zyga;28;34,00
16.07.2024 20:07:13;Mumio;29;1,00
16.07.2024 20:09:34;Ronaldo;30;55,55
17.07.2024 02:57:06;Andrzej;31;11,22
17.07.2024 03:16:22;Marian;32;550,00
17.07.2024 03:18:44;Mruczek;33;209,00
17.07.2024 05:24:14;Ola;34;281,91
17.07.2024 05:27:19;Maciek;35;410,51
17.07.2024 05:30:47;Ula;36;68,33
17.07.2024 05:40:31;Józek;37;22,67
17.07.2024 05:45:10;Olek;38;173,75
17.07.2024 05:48:48;Paula;39;241,94
17.07.2024 05:52:06;Monika;40;521,05
